id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances,vocab
,,,,,,,
6780,FALSE,81,82,77,0,77,/m/050ks
,,,,,,,
7123,FALSE,79,80,77,0,77,/m/01yfm8
,,,,,,,
8079,FALSE,27,28,77,0,77,/m/0456zg
,,,,,,,
8386,FALSE,37,38,77,0,77,/m/017c87
,,,,,,,
8802,FALSE,57,58,77,0,77,/m/0d8qb
,,,,,,,
46,FALSE,98,99,76,0,76,/m/01lp8
,,,,,,,
89,FALSE,114,115,76,0,76,/m/0jz9f
,,,,,,,
100,FALSE,119,120,76,0,76,/m/060bp
,,,,,,,
700,FALSE,34,35,76,0,76,/m/02ndbd
,,,,,,,
701,FALSE,78,79,76,0,76,/m/06_wqk4
,,,,,,,
1261,FALSE,103,104,76,0,76,/m/0jqn5
,,,,,,,
2379,FALSE,55,56,76,0,76,/m/083skw
,,,,,,,
2493,FALSE,39,40,76,0,76,/m/02301
,,,,,,,
3217,FALSE,30,31,76,0,76,/m/01vv6_6
,,,,,,,
3606,FALSE,31,32,76,0,76,/m/06gd4
,,,,,,,
3843,FALSE,82,83,76,0,76,/m/04fzk
,,,,,,,
3862,FALSE,101,102,76,0,76,/m/086sj
,,,,,,,
4285,FALSE,79,80,76,0,76,/m/030_3z
,,,,,,,
4288,FALSE,24,25,76,0,76,/m/02zcnq
,,,,,,,
4952,FALSE,39,40,76,0,76,/m/03f1r6t
,,,,,,,
4992,FALSE,56,57,76,0,76,/m/026w_gk
,,,,,,,
5000,FALSE,110,111,76,0,76,/m/047vnkj
,,,,,,,
5007,FALSE,38,39,76,0,76,/m/0bm2x
,,,,,,,
5190,FALSE,64,65,76,0,76,/m/014v6f
,,,,,,,
5994,FALSE,52,53,76,0,76,/m/0286gm1
,,,,,,,
6045,FALSE,58,59,76,0,76,/m/0gg8z1f
,,,,,,,
6223,FALSE,32,33,76,0,76,/m/04xx9s
,,,,,,,
7132,FALSE,26,27,76,0,76,/m/011lvx
,,,,,,,
8084,FALSE,43,44,76,0,76,/m/0k__z
,,,,,,,
8211,FALSE,92,93,76,0,76,/m/06rgq
,,,,,,,
8333,FALSE,62,63,76,0,76,/m/01jw4r
,,,,,,,
