id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
10451,False,34,35,18,0,18
10452,False,13,14,13,0,13
10453,False,6,7,0,0,0
10454,False,30,31,24,1,23
10455,False,12,13,6,0,6
10456,False,23,24,5,0,5
10457,False,35,36,55,0,55
10458,False,3,4,0,0,0
10459,False,26,27,15,0,15
10460,False,14,15,34,0,34
10461,False,29,30,21,0,21
10462,False,38,39,25,0,25
10463,False,25,26,17,0,17
10464,False,24,25,12,0,12
10465,False,11,12,10,0,10
10466,False,43,44,51,0,51
10467,False,4,5,1,0,1
10468,False,22,23,7,0,7
10469,False,20,21,24,2,22
10470,False,6,7,23,0,23
10471,False,33,34,62,2,60
10472,False,8,9,5,0,5
10473,False,47,48,71,0,71
10474,False,9,10,2,0,2
10475,False,25,26,4,0,4
10476,False,4,5,3,0,3
10477,False,17,18,13,0,13
10478,False,20,21,10,0,10
10479,False,28,29,60,1,59
10480,False,12,13,49,3,46
10481,False,9,10,12,0,12
10482,False,9,10,11,1,10
10483,False,11,12,12,0,12
10484,False,20,21,59,8,51
10485,False,22,23,17,3,14
10486,False,6,7,27,0,27
10487,False,11,12,34,2,32
10488,False,31,32,29,0,29
10489,False,36,37,59,0,59
10490,False,17,18,25,0,25
10491,False,7,8,5,0,5
10492,False,13,14,21,0,21
10493,False,33,34,61,1,60
10494,False,4,5,11,1,10
10495,False,6,7,0,0,0
10496,False,42,43,34,0,34
10497,False,27,28,52,1,51
10498,False,3,4,37,0,37
10499,False,27,28,22,0,22
10500,False,7,8,4,2,2
10501,False,11,12,18,0,18
10502,False,16,17,28,0,28
10503,False,11,12,2,1,1
10504,False,24,25,17,0,17
10505,False,5,6,4,0,4
10506,False,7,8,2,0,2
10507,False,18,19,13,3,10
10508,False,6,7,0,0,0
10509,False,3,4,0,0,0
10510,False,5,6,12,0,12
10511,False,31,32,64,2,62
10512,False,8,9,8,2,6
10513,False,9,10,6,3,3
10514,False,24,25,12,0,12
10515,False,21,22,11,0,11
10516,False,18,19,13,0,13
10517,False,6,7,4,0,4
10518,False,36,37,45,0,45
10519,False,40,41,18,0,18
10520,False,24,25,2,0,2
10521,False,32,33,37,0,37
10522,False,43,44,25,0,25
10523,False,7,8,8,0,8
10524,False,21,22,35,3,32
10525,False,59,60,58,0,58
10526,False,12,13,34,0,34
10527,False,15,16,25,0,25
10528,False,22,23,49,0,49
10529,False,4,5,2,0,2
10530,False,34,35,6,0,6
10531,False,8,9,4,1,3
10532,False,26,27,5,0,5
10533,False,22,23,11,0,11
10534,False,15,16,13,0,13
10535,False,9,10,8,0,8
10536,False,10,11,3,1,2
10537,False,7,8,10,0,10
10538,False,18,19,55,0,55
10539,False,7,8,9,0,9
10540,False,5,6,3,0,3
10541,False,9,10,11,0,11
10542,False,8,9,2,1,1
10543,False,17,18,2,0,2
10544,False,7,8,6,0,6
10545,False,22,23,17,0,17
10546,False,15,16,8,0,8
10547,False,7,8,5,1,4
10548,False,27,28,19,1,18
10549,False,11,12,7,1,6
10550,False,30,31,18,0,18
10551,False,22,23,42,0,42
10552,False,24,25,18,0,18
10553,False,20,21,20,0,20
10554,False,15,16,57,1,56
10555,False,5,6,5,0,5
10556,False,20,21,9,0,9
10557,False,26,27,14,0,14
10558,False,9,10,1,0,1
10559,False,25,26,13,0,13
10560,False,21,22,10,0,10
10561,False,25,26,18,1,17
10562,False,27,28,2,0,2
10563,False,6,7,8,0,8
10564,False,9,10,3,0,3
10565,False,22,23,15,1,14
10566,False,23,24,8,0,8
10567,False,19,20,23,0,23
10568,False,24,25,14,0,14
10569,False,33,34,21,0,21
10570,False,18,19,15,0,15
10571,False,10,11,4,0,4
10572,False,15,16,8,0,8
10573,False,22,23,8,0,8
10574,False,16,17,8,0,8
10575,False,7,8,4,0,4
10576,False,10,11,2,2,0
10577,False,9,10,4,0,4
10578,False,26,27,35,0,35
10579,False,38,39,15,1,14
10580,False,26,27,44,4,40
10581,False,1,2,0,0,0
10582,False,24,25,20,3,17
10583,False,26,27,52,0,52
10584,False,14,15,44,1,43
10585,False,35,36,30,1,29
10586,False,32,33,14,0,14
10587,False,6,7,6,0,6
10588,False,27,28,16,0,16
10589,False,12,13,5,0,5
10590,False,17,18,15,0,15
10591,False,10,11,7,0,7
10592,False,19,20,8,0,8
10593,False,8,9,6,0,6
10594,False,11,12,3,1,2
10595,False,6,7,3,0,3
10596,False,13,14,15,0,15
10597,False,16,17,37,11,26
10598,False,20,21,31,0,31
10599,False,20,21,14,0,14
10600,False,38,39,38,0,38
10601,False,17,18,12,0,12
10602,False,18,19,22,0,22
10603,False,39,40,32,0,32
10604,False,1,2,0,0,0
10605,False,30,31,82,0,82
10606,False,10,11,26,0,26
10607,False,25,26,10,0,10
10608,False,25,26,18,0,18
10609,False,10,11,29,2,27
10610,False,15,16,0,0,0
10611,False,41,42,13,0,13
10612,False,16,17,22,2,20
10613,False,10,11,32,1,31
10614,False,33,34,64,0,64
10615,False,12,13,1,1,0
10616,False,25,26,36,0,36
10617,False,13,14,34,0,34
10618,False,26,27,55,2,53
10619,False,16,17,20,0,20
10620,False,9,10,6,0,6
10621,False,33,34,42,0,42
10622,False,3,4,5,0,5
10623,False,14,15,6,0,6
10624,False,26,27,13,0,13
10625,False,17,18,54,0,54
10626,False,33,34,58,0,58
10627,False,10,11,24,0,24
10628,False,26,27,9,0,9
10629,False,43,44,46,0,46
10630,False,13,14,30,1,29
10631,False,6,7,5,0,5
